provider,region,total_type1_attendances,total_breaches,breach_rate_pct,total_12hr_waits,total_emergency_admissions
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,414623.0,169154.0,40.8,21023.0,214477.0
MID AND SOUTH ESSEX NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,343747.0,120791.0,35.1,7510.0,118676.0
UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,321536.0,127607.0,39.7,8849.0,125821.0
ROYAL FREE LONDON NHS FOUNDATION TRUST,NHS ENGLAND LONDON,313776.0,114606.0,36.5,22650.0,85065.0
NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,313494.0,127633.0,40.7,13870.0,120425.0
MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,309660.0,131207.0,42.4,1217.0,78966.0
BARTS HEALTH NHS TRUST,NHS ENGLAND LONDON,305760.0,153878.0,50.3,12837.0,66662.0
FRIMLEY HEALTH NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,271749.0,115018.0,42.3,5077.0,79744.0
UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NHS ENGLAND MIDLANDS,264994.0,107549.0,40.6,8530.0,125138.0
CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND LONDON,237084.0,67902.0,28.6,607.0,37938.0
UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,225634.0,107511.0,47.6,9629.0,72107.0
MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,NHS ENGLAND SOUTH EAST,224932.0,50493.0,22.4,2836.0,54628.0
LEEDS TEACHING HOSPITALS NHS TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,213504.0,86667.0,40.6,6328.0,58378.0
MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,NHS ENGLAND NORTH WEST,208546.0,80103.0,38.4,4866.0,99513.0
UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS,204323.0,85382.0,41.8,13254.0,71889.0
BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,201877.0,76110.0,37.7,278.0,87817.0
MID YORKSHIRE TEACHING NHS TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,198544.0,77007.0,38.8,3359.0,54345.0
LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,192474.0,98753.0,51.3,11762.0,87842.0
CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,192172.0,31986.0,16.6,484.0,36974.0
LEWISHAM AND GREENWICH NHS TRUST,NHS ENGLAND LONDON,190385.0,97622.0,51.3,7978.0,55420.0
UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,188807.0,69763.0,36.9,4500.0,78953.0
KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND LONDON,186678.0,88195.0,47.2,8904.0,47278.0
NORTH WEST ANGLIA NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,179535.0,71505.0,39.8,9680.0,61017.0
UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS ENGLAND MIDLANDS,174149.0,93535.0,53.7,11069.0,75696.0
UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,173162.0,71994.0,41.6,3491.0,80539.0
DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,166412.0,59957.0,36.0,1793.0,63794.0
WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS,165200.0,83384.0,50.5,12165.0,45762.0
LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,164066.0,84448.0,51.5,5448.0,79863.0
EAST LANCASHIRE HOSPITALS NHS TRUST,NHS ENGLAND NORTH WEST,163072.0,61560.0,37.8,12747.0,68894.0
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",NHS ENGLAND LONDON,161554.0,80732.0,50.0,9299.0,87301.0
GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,160541.0,60774.0,37.9,4476.0,67568.0
UNI COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND LONDON,159521.0,44923.0,28.2,1946.0,20742.0
